[ Sun Sep 18 22:28:21 2016 ]=>  my sudo [230926505] added SuperGroup
 
[ Sun Sep 18 22:30:21 2016 ]=>  my sudo [230926505] promoted @lIIdevIIl
 
[ Sun Sep 18 22:30:54 2016 ]=>  my sudo[230926505] set [245098357] as owner by username
 
[ Sun Sep 18 22:31:15 2016 ]=>  ℡ ﴿ آلزعآٍمِـﮫْﮪِـہٰ ﴾❈ ֆ ┇ ||نہحہن الہشہيعہه 💯 سہنہعہيہش صہقہور طہأئريہن 🌝 👑 سہنہمہوت أسہودأ شہأمہخہيہن|| - ﺎلعظمآء لآ يسقطون ، ألأ لخيانﮭﮧ.!: . [245098357] promoted mod: @@Shab_96[116296503] by reply
 
[ Sun Sep 18 22:31:33 2016 ]=>  ℡ ﴿ آلزعآٍمِـﮫْﮪِـہٰ ﴾❈ ֆ ┇ ||نہحہن الہشہيعہه 💯 سہنہعہيہش صہقہور طہأئريہن 🌝 👑 سہنہمہوت أسہودأ شہأمہخہيہن|| - ﺎلعظمآء لآ يسقطون ، ألأ لخيانﮭﮧ.!: . [245098357] promoted mod: @@HA_g6[253401244] by reply
 
[ Sun Sep 18 22:36:56 2016 ]=>  🎵»•° ٰٰٛۗٛ ﻋٰٰٰٛۗٛۗۗبٰٛﻮٰۣۧٛد ٰٰٛۗٛ°•«🎶 [116296503] locked link posting 
 
[ Sun Sep 18 22:37:20 2016 ]=>  my sudo [230926505] set SuperGroup to: mute All
 
[ Sun Sep 18 22:37:29 2016 ]=>  ℡ ﴿ آلزعآٍمِـﮫْﮪِـہٰ ﴾❈ ֆ ┇ ||نہحہن الہشہيعہه 💯 سہنہعہيہش صہقہور طہأئريہن 🌝 👑 سہنہمہوت أسہودأ شہأمہخہيہن|| - ﺎلعظمآء لآ يسقطون ، ألأ لخيانﮭﮧ.!: . [245098357] locked spam 
 
[ Sun Sep 18 22:37:30 2016 ]=>  my sudo [230926505] unlocked reply
 
[ Sun Sep 18 22:37:44 2016 ]=>  my sudo [230926505] unlocked Arabic
 
